branch_id,invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall,total_sales
7,MJ240001,C100001,Female,33,Food & Beverage,1,15000.00,Credit Card,2024-01-01,,15000.00
7,MJ240002,C100002,Male,55,Technology,1,2500000.00,Credit Card,2024-01-02,,2500000.00
7,MJ240003,C100003,Male,32,Books,1,25000.00,Cash,2024-01-03,,25000.00
7,MJ240004,C100004,Female,32,Toys,2,3500000.00,Cash,2024-01-04,,7000000.00
7,MJ240005,C100005,Male,62,Technology,3,15000.00,Debit Card,2024-01-05,,45000.00
7,MJ240006,C100006,Male,66,Souvenir,3,50000.00,Credit Card,2024-01-06,,150000.00
7,MJ240007,C100007,Male,40,Souvenir,1,250000.00,Cash,2024-01-07,,250000.00
7,MJ240008,C100008,Female,52,Clothing,3,15000.00,Debit Card,2024-01-08,,45000.00
7,MJ240009,C100009,Female,58,Souvenir,1,750000.00,Cash,2024-01-09,,750000.00
7,MJ240010,C100010,Male,20,Food & Beverage,2,3500000.00,Debit Card,2024-01-10,,7000000.00
7,MJ240011,C100011,Male,42,Shoes,1,75000.00,Debit Card,2024-01-11,,75000.00
7,MJ240012,C100012,Female,40,Food & Beverage,3,50000.00,Cash,2024-01-12,,150000.00
7,MJ240013,C100013,Male,56,Cosmetics,3,3500000.00,Cash,2024-01-13,,10500000.00
7,MJ240014,C100014,Female,42,Shoes,2,50000.00,Cash,2024-01-14,,100000.00
7,MJ240015,C100015,Female,67,Books,5,75000.00,Credit Card,2024-01-15,,375000.00
7,MJ240016,C100016,Female,35,Clothing,1,150000.00,Credit Card,2024-01-16,,150000.00
7,MJ240017,C100017,Female,31,Toys,5,3500000.00,Debit Card,2024-01-17,,17500000.00
7,MJ240018,C100018,Female,26,Food & Beverage,4,50000.00,Cash,2024-01-18,,200000.00
7,MJ240019,C100019,Female,65,Technology,5,750000.00,Cash,2024-01-19,,3750000.00
7,MJ240020,C100020,Male,26,Toys,4,150000.00,Credit Card,2024-01-20,,600000.00
7,MJ240021,C100021,Male,58,Cosmetics,1,25000.00,Cash,2024-01-21,,25000.00
7,MJ240022,C100022,Male,42,Technology,4,1200000.00,Cash,2024-01-22,,4800000.00
7,MJ240023,C100023,Female,53,Books,4,750000.00,Cash,2024-01-23,,3000000.00
7,MJ240024,C100024,Female,67,Souvenir,1,2500000.00,Credit Card,2024-01-24,,2500000.00
7,MJ240025,C100025,Male,47,Books,3,250000.00,Cash,2024-01-25,,750000.00
7,MJ240026,C100026,Male,50,Clothing,3,750000.00,Cash,2024-01-26,,2250000.00
7,MJ240027,C100027,Male,27,Souvenir,3,2500000.00,Credit Card,2024-01-27,,7500000.00
7,MJ240028,C100028,Male,56,Souvenir,5,750000.00,Debit Card,2024-01-28,,3750000.00
7,MJ240029,C100029,Female,69,Shoes,1,25000.00,Credit Card,2024-01-01,,25000.00
7,MJ240030,C100030,Male,23,Toys,1,75000.00,Credit Card,2024-01-02,,75000.00
7,MJ240031,C100031,Male,60,Toys,5,50000.00,Cash,2024-01-03,,250000.00
7,MJ240032,C100032,Female,31,Food & Beverage,2,100000.00,Cash,2024-01-04,,200000.00
7,MJ240033,C100033,Female,46,Toys,3,250000.00,Credit Card,2024-01-05,,750000.00
7,MJ240034,C100034,Male,39,Books,2,75000.00,Cash,2024-01-06,,150000.00
7,MJ240035,C100035,Male,18,Clothing,5,75000.00,Cash,2024-01-07,,375000.00
7,MJ240036,C100036,Male,20,Souvenir,1,75000.00,Credit Card,2024-01-08,,75000.00
7,MJ240037,C100037,Female,60,Toys,5,75000.00,Credit Card,2024-01-09,,375000.00
7,MJ240038,C100038,Female,33,Toys,5,50000.00,Debit Card,2024-01-10,,250000.00
7,MJ240039,C100039,Male,60,Technology,2,25000.00,Debit Card,2024-01-11,,50000.00
7,MJ240040,C100040,Female,64,Books,4,250000.00,Cash,2024-01-12,,1000000.00
7,MJ240041,C100041,Female,64,Souvenir,1,15000.00,Credit Card,2024-01-13,,15000.00
7,MJ240042,C100042,Male,52,Toys,2,75000.00,Credit Card,2024-01-14,,150000.00
7,MJ240043,C100043,Female,47,Food & Beverage,4,50000.00,Credit Card,2024-01-15,,200000.00
7,MJ240044,C100044,Male,21,Books,4,750000.00,Credit Card,2024-01-16,,3000000.00
7,MJ240045,C100045,Female,49,Toys,2,50000.00,Credit Card,2024-01-17,,100000.00
7,MJ240046,C100046,Male,42,Books,4,15000.00,Debit Card,2024-01-18,,60000.00
7,MJ240047,C100047,Female,45,Toys,3,500000.00,Credit Card,2024-01-19,,1500000.00
7,MJ240048,C100048,Male,21,Books,2,100000.00,Cash,2024-01-20,,200000.00
7,MJ240049,C100049,Male,55,Toys,3,15000.00,Cash,2024-01-21,,45000.00
7,MJ240050,C100050,Male,50,Clothing,5,50000.00,Credit Card,2024-01-22,,250000.00
7,MJ240051,C100051,Male,61,Food & Beverage,1,1200000.00,Debit Card,2024-02-01,,1200000.00
7,MJ240052,C100052,Male,55,Books,1,1200000.00,Cash,2024-02-02,,1200000.00
7,MJ240053,C100053,Female,34,Food & Beverage,1,250000.00,Cash,2024-02-03,,250000.00
7,MJ240054,C100054,Female,43,Cosmetics,3,75000.00,Cash,2024-02-04,,225000.00
7,MJ240055,C100055,Female,66,Clothing,3,500000.00,Credit Card,2024-02-05,,1500000.00
7,MJ240056,C100056,Male,22,Food & Beverage,4,1200000.00,Cash,2024-02-06,,4800000.00
7,MJ240057,C100057,Female,22,Food & Beverage,3,50000.00,Debit Card,2024-02-07,,150000.00
7,MJ240058,C100058,Female,52,Shoes,3,50000.00,Cash,2024-02-08,,150000.00
7,MJ240059,C100059,Female,60,Clothing,5,15000.00,Credit Card,2024-02-09,,75000.00
7,MJ240060,C100060,Male,65,Cosmetics,3,25000.00,Debit Card,2024-02-10,,75000.00
7,MJ240061,C100061,Male,63,Souvenir,3,1200000.00,Credit Card,2024-02-11,,3600000.00
7,MJ240062,C100062,Female,34,Books,3,750000.00,Credit Card,2024-02-12,,2250000.00
7,MJ240063,C100063,Male,18,Souvenir,4,100000.00,Credit Card,2024-02-13,,400000.00
7,MJ240064,C100064,Female,53,Technology,3,50000.00,Cash,2024-02-14,,150000.00
7,MJ240065,C100065,Male,62,Cosmetics,1,25000.00,Cash,2024-02-15,,25000.00
7,MJ240066,C100066,Male,45,Cosmetics,1,150000.00,Credit Card,2024-02-16,,150000.00
7,MJ240067,C100067,Male,40,Food & Beverage,3,150000.00,Cash,2024-02-17,,450000.00
7,MJ240068,C100068,Male,40,Technology,2,2500000.00,Cash,2024-02-18,,5000000.00
7,MJ240069,C100069,Male,69,Cosmetics,2,75000.00,Debit Card,2024-02-19,,150000.00
7,MJ240070,C100070,Female,68,Technology,1,50000.00,Cash,2024-02-20,,50000.00
7,MJ240071,C100071,Male,68,Clothing,2,100000.00,Debit Card,2024-02-21,,200000.00
7,MJ240072,C100072,Male,30,Toys,1,500000.00,Debit Card,2024-02-22,,500000.00
7,MJ240073,C100073,Male,19,Food & Beverage,3,75000.00,Debit Card,2024-02-23,,225000.00
7,MJ240074,C100074,Male,67,Shoes,3,100000.00,Debit Card,2024-02-24,,300000.00
7,MJ240075,C100075,Female,19,Clothing,5,250000.00,Debit Card,2024-02-25,,1250000.00
7,MJ240076,C100076,Female,20,Clothing,2,1200000.00,Cash,2024-02-26,,2400000.00
7,MJ240077,C100077,Female,45,Clothing,4,150000.00,Debit Card,2024-02-27,,600000.00
7,MJ240078,C100078,Female,20,Technology,5,75000.00,Credit Card,2024-02-28,,375000.00
7,MJ240079,C100079,Male,41,Technology,5,750000.00,Credit Card,2024-02-01,,3750000.00
7,MJ240080,C100080,Female,60,Clothing,3,1200000.00,Cash,2024-02-02,,3600000.00
7,MJ240081,C100081,Female,60,Technology,3,750000.00,Debit Card,2024-02-03,,2250000.00
7,MJ240082,C100082,Female,53,Cosmetics,4,3500000.00,Credit Card,2024-02-04,,14000000.00
7,MJ240083,C100083,Female,61,Cosmetics,4,2500000.00,Cash,2024-02-05,,10000000.00
7,MJ240084,C100084,Female,53,Books,5,100000.00,Debit Card,2024-02-06,,500000.00
7,MJ240085,C100085,Female,68,Souvenir,3,75000.00,Debit Card,2024-02-07,,225000.00
