invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,total_sales
I127801,C266599,Male,20,Clothing,1,300.08,Cash,2021-11-09,300.08
I293455,C159642,Male,69,Clothing,3,900.24,Credit Card,2021-11-04,2700.7200000000003
I306368,C240286,Female,36,Food & Beverage,2,10.46,Cash,2022-12-25,20.92
I640508,C225330,Female,67,Toys,4,143.36,Debit Card,2022-07-31,573.44
I294687,C300786,Male,65,Books,2,30.3,Debit Card,2021-01-16,60.6
I174250,C204553,Female,42,Books,5,75.75,Cash,2022-12-16,378.75
I109053,C232624,Male,51,Clothing,4,1200.32,Debit Card,2021-07-11,4801.28
I187519,C450287,Female,59,Clothing,2,600.16,Credit Card,2022-07-08,1200.32
I752693,C306662,Female,48,Cosmetics,3,121.98,Cash,2022-04-28,365.94
I826174,C607615,Female,40,Shoes,4,2400.68,Cash,2022-06-20,9602.72
I160777,C626042,Female,43,Technology,4,4200.0,Cash,2022-02-22,16800.0
I115146,C126956,Female,24,Cosmetics,5,203.3,Cash,2022-04-27,1016.5
I115870,C135790,Female,69,Shoes,4,2400.68,Cash,2021-09-04,9602.72
I321683,C542025,Male,60,Cosmetics,4,162.64,Credit Card,2023-01-06,650.56
I215721,C830576,Female,25,Cosmetics,2,81.32,Debit Card,2022-12-16,162.64
I256691,C152549,Male,24,Cosmetics,1,40.66,Cash,2022-02-04,40.66
I796162,C111832,Female,30,Food & Beverage,5,26.15,Credit Card,2022-01-06,130.75
I278121,C885344,Female,60,Toys,4,143.36,Debit Card,2021-06-07,573.44
I142331,C997380,Male,35,Cosmetics,4,162.64,Debit Card,2021-05-30,650.56
I774221,C519513,Male,30,Food & Beverage,5,26.15,Cash,2021-12-15,130.75
I129886,C846730,Female,42,Food & Beverage,5,26.15,Cash,2021-10-25,130.75
I762439,C663463,Female,45,Books,4,60.6,Cash,2021-12-05,242.4
I151588,C310642,Male,24,Books,3,45.45,Credit Card,2022-04-12,136.35000000000002
I362306,C143343,Female,21,Clothing,1,300.08,Credit Card,2022-09-19,300.08
I201704,C340116,Female,53,Food & Beverage,3,15.69,Cash,2021-07-12,47.07
I416544,C599109,Female,25,Food & Beverage,2,10.46,Credit Card,2022-05-28,20.92
I170160,C244213,Male,34,Toys,2,71.68,Debit Card,2023-02-26,143.36
I143353,C244291,Female,59,Souvenir,5,58.65,Cash,2022-05-15,293.25
I255381,C172966,Male,40,Clothing,4,1200.32,Debit Card,2021-05-24,4801.28
I219555,C266961,Male,47,Clothing,3,900.24,Credit Card,2021-09-10,2700.7200000000003
I218385,C290280,Female,51,Toys,1,35.84,Cash,2022-07-19,35.84
