invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,total_sales
I688768,C362288,Male,24,Shoes,5,3000.85,Credit Card,2021-11-07,15004.25
I137794,C133687,Female,45,Food & Beverage,3,15.69,Debit Card,2021-03-12,47.07
I283443,C189493,Male,43,Technology,3,3150.0,Credit Card,2022-05-25,9450.0
I200392,C307921,Female,24,Clothing,5,1500.4,Credit Card,2021-09-14,7502.0
I147334,C306395,Male,35,Clothing,2,600.16,Cash,2022-01-12,1200.32
I307534,C434171,Female,28,Cosmetics,4,162.64,Cash,2022-03-26,650.56
I176469,C876528,Female,23,Food & Beverage,2,10.46,Credit Card,2021-07-31,20.92
I402966,C375422,Male,23,Cosmetics,4,162.64,Debit Card,2021-10-02,650.56
I244241,C911768,Female,23,Clothing,5,1500.4,Credit Card,2022-08-03,7502.0
I318831,C139568,Female,41,Cosmetics,4,162.64,Credit Card,2022-07-15,650.56
I258322,C220281,Male,50,Clothing,4,1200.32,Cash,2021-07-12,4801.28
I409288,C513561,Female,56,Food & Beverage,3,15.69,Cash,2021-03-02,47.07
I606511,C307535,Female,37,Souvenir,2,23.46,Credit Card,2022-09-09,46.92
I173679,C555040,Male,27,Technology,3,3150.0,Credit Card,2021-06-28,9450.0
I239285,C155335,Female,62,Cosmetics,3,121.98,Credit Card,2022-11-13,365.94
I176115,C709571,Male,39,Cosmetics,4,162.64,Cash,2021-08-30,650.56
I227707,C329163,Female,34,Shoes,4,2400.68,Cash,2022-01-10,9602.72
I403818,C308584,Male,62,Books,5,75.75,Cash,2022-06-15,378.75
I183840,C246719,Female,18,Clothing,1,300.08,Credit Card,2022-03-08,300.08
I293115,C109758,Male,50,Clothing,2,600.16,Credit Card,2022-05-20,1200.32
I236520,C222102,Male,42,Toys,3,107.52,Credit Card,2022-02-13,322.56
I166306,C197019,Female,56,Clothing,3,900.24,Cash,2022-04-24,2700.7200000000003
I338302,C123201,Male,49,Cosmetics,4,162.64,Debit Card,2021-10-03,650.56
I108543,C330021,Female,67,Clothing,5,1500.4,Debit Card,2022-07-08,7502.0
