invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,total_sales
I195744,C330667,Female,42,Food & Beverage,3,15.69,Credit Card,2022-01-05,47.07
I167211,C164092,Female,66,Shoes,4,2400.68,Credit Card,2022-08-30,9602.72
I246550,C716788,Female,49,Food & Beverage,3,15.69,Cash,2021-09-10,47.07
I117291,C134449,Male,46,Books,5,75.75,Credit Card,2022-12-09,378.75
I205366,C241642,Female,43,Clothing,4,1200.32,Debit Card,2022-11-07,4801.28
I269690,C126436,Male,18,Cosmetics,3,121.98,Debit Card,2022-02-07,365.94
I140663,C218383,Female,52,Clothing,5,1500.4,Cash,2022-10-15,7502.0
I149688,C276043,Female,26,Clothing,4,1200.32,Cash,2021-08-21,4801.28
I300972,C134370,Female,40,Cosmetics,1,40.66,Credit Card,2021-05-25,40.66
I601026,C693789,Female,66,Souvenir,5,58.65,Credit Card,2022-03-05,293.25
I530401,C526660,Female,32,Technology,2,2100.0,Cash,2022-09-25,4200.0
I202398,C256730,Male,53,Shoes,5,3000.85,Cash,2021-01-26,15004.25
I148276,C616106,Female,63,Clothing,4,1200.32,Debit Card,2022-12-07,4801.28
I119809,C321889,Female,24,Food & Beverage,1,5.23,Debit Card,2022-04-06,5.23
I263818,C336232,Male,69,Souvenir,4,46.92,Cash,2022-06-26,187.68
I186896,C138755,Female,52,Toys,1,35.84,Credit Card,2021-09-19,35.84
I133240,C999586,Male,58,Toys,3,107.52,Credit Card,2022-06-14,322.56
I123315,C230018,Male,46,Clothing,2,600.16,Debit Card,2021-04-01,1200.32
I252777,C262366,Female,55,Clothing,2,600.16,Cash,2022-02-19,1200.32
I337094,C567509,Female,50,Technology,1,1050.0,Cash,2023-02-09,1050.0
I533184,C220859,Female,44,Shoes,5,3000.85,Credit Card,2022-09-22,15004.25
I228150,C141094,Male,62,Clothing,5,1500.4,Cash,2021-11-21,7502.0
I678313,C335822,Female,44,Clothing,4,1200.32,Debit Card,2021-12-26,4801.28
I295482,C209440,Male,24,Shoes,3,1800.51,Credit Card,2022-10-17,5401.53
I100033,C278721,Male,56,Food & Beverage,4,20.92,Credit Card,2021-10-19,83.68
I251779,C555827,Male,55,Toys,5,179.2,Debit Card,2022-03-12,896.0
I321373,C237063,Female,23,Food & Beverage,5,26.15,Cash,2022-08-05,130.75
I318625,C319935,Male,48,Technology,5,5250.0,Cash,2023-02-26,26250.0
I142245,C785507,Male,43,Cosmetics,3,121.98,Debit Card,2022-12-01,365.94
I169684,C226252,Male,21,Food & Beverage,1,5.23,Debit Card,2021-07-28,5.23
I289516,C280253,Male,43,Clothing,5,1500.4,Credit Card,2021-11-04,7502.0
I335633,C621794,Female,53,Clothing,3,900.24,Credit Card,2022-07-21,2700.7200000000003
I551504,C587022,Male,33,Shoes,1,600.17,Debit Card,2022-03-30,600.17
I301887,C331182,Male,30,Technology,4,4200.0,Credit Card,2021-04-13,16800.0
I722991,C206713,Female,19,Clothing,5,1500.4,Cash,2022-03-12,7502.0
I742965,C211277,Female,60,Toys,3,107.52,Cash,2022-08-27,322.56
I185316,C228532,Female,45,Souvenir,1,11.73,Cash,2022-05-30,11.73
I237899,C820137,Male,67,Cosmetics,4,162.64,Debit Card,2021-05-01,650.56
I713320,C189364,Male,29,Technology,1,1050.0,Debit Card,2021-11-23,1050.0
I205315,C430942,Female,39,Cosmetics,5,203.3,Cash,2022-06-03,1016.5
I211823,C270543,Male,23,Clothing,5,1500.4,Debit Card,2021-03-16,7502.0
I172592,C269506,Male,66,Shoes,3,1800.51,Cash,2021-07-05,5401.53
I272468,C132400,Male,44,Clothing,5,1500.4,Cash,2022-08-30,7502.0
I539167,C205165,Male,23,Toys,3,107.52,Cash,2021-12-16,322.56
I255446,C126647,Female,54,Shoes,5,3000.85,Credit Card,2021-02-17,15004.25
I203099,C266175,Female,53,Clothing,1,300.08,Credit Card,2021-12-01,300.08
I133005,C716870,Female,53,Food & Beverage,2,10.46,Cash,2021-12-19,20.92
I252733,C132150,Female,69,Books,5,75.75,Credit Card,2022-05-17,378.75
I752293,C211763,Male,63,Clothing,4,1200.32,Cash,2023-03-02,4801.28
I106866,C246898,Female,51,Toys,4,143.36,Credit Card,2022-01-10,573.44
I261248,C104963,Male,69,Souvenir,1,11.73,Cash,2021-02-26,11.73
I339998,C299567,Male,34,Food & Beverage,3,15.69,Credit Card,2022-11-17,47.07
I187777,C710954,Male,39,Clothing,3,900.24,Credit Card,2021-04-30,2700.7200000000003
I233412,C524469,Female,47,Clothing,1,300.08,Credit Card,2021-05-08,300.08
I225839,C838257,Male,63,Cosmetics,2,81.32,Debit Card,2022-12-28,162.64
I592896,C108465,Male,35,Clothing,4,1200.32,Debit Card,2021-02-05,4801.28
I185731,C334686,Female,27,Clothing,1,300.08,Credit Card,2022-03-10,300.08
I280022,C787279,Female,67,Clothing,5,1500.4,Cash,2021-06-05,7502.0
I383351,C207215,Male,30,Clothing,1,300.08,Credit Card,2021-12-11,300.08
I306769,C325524,Female,55,Food & Beverage,4,20.92,Debit Card,2022-03-24,83.68
I425665,C309515,Female,48,Toys,4,143.36,Credit Card,2022-05-18,573.44
I325023,C290609,Female,61,Clothing,4,1200.32,Credit Card,2022-02-27,4801.28
I580474,C535999,Male,43,Technology,4,4200.0,Debit Card,2021-02-08,16800.0
I208602,C524104,Female,25,Shoes,2,1200.34,Cash,2022-03-16,2400.68
I984781,C336350,Male,60,Clothing,4,1200.32,Cash,2022-11-25,4801.28
I158498,C403561,Female,42,Technology,1,1050.0,Credit Card,2022-08-15,1050.0
I299444,C303302,Female,30,Clothing,3,900.24,Cash,2021-11-23,2700.7200000000003
I328770,C214029,Female,47,Clothing,2,600.16,Cash,2022-08-07,1200.32
I573734,C246503,Female,59,Clothing,1,300.08,Credit Card,2022-06-27,300.08
I924814,C162841,Female,21,Cosmetics,3,121.98,Debit Card,2022-09-13,365.94
I818342,C340084,Female,52,Clothing,1,300.08,Debit Card,2021-02-03,300.08
I249552,C143595,Female,57,Clothing,4,1200.32,Cash,2022-01-22,4801.28
I139026,C153137,Female,65,Shoes,1,600.17,Cash,2021-01-30,600.17
I526892,C101261,Female,31,Cosmetics,5,203.3,Debit Card,2022-09-10,1016.5
I206642,C289260,Female,36,Cosmetics,3,121.98,Debit Card,2023-01-12,365.94
I264264,C615393,Female,56,Technology,5,5250.0,Credit Card,2021-03-25,26250.0
I226372,C853154,Male,50,Shoes,4,2400.68,Cash,2022-02-24,9602.72
I351510,C160201,Male,48,Food & Beverage,3,15.69,Debit Card,2022-06-14,47.07
I400888,C143471,Male,39,Cosmetics,5,203.3,Debit Card,2023-02-07,1016.5
I133821,C250146,Female,58,Cosmetics,2,81.32,Cash,2022-02-12,162.64
I204418,C329432,Male,18,Cosmetics,1,40.66,Credit Card,2021-12-20,40.66
I228474,C271349,Male,43,Clothing,3,900.24,Debit Card,2021-03-19,2700.7200000000003
