invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall,total_sales
I138884,C241288,Female,28,Clothing,5,1500.4,Credit Card,2022-08-05,Kanyon,7502.0
I317333,C111565,Male,21,Shoes,3,1800.51,Debit Card,2021-12-12,Forum Istanbul,5401.53
I127801,C266599,Male,20,Clothing,1,300.08,Cash,2021-11-09,Metrocity,300.08
I173702,C988172,Female,66,Shoes,5,3000.85,Credit Card,2021-05-16,Metropol AVM,15004.25
I337046,C189076,Female,53,Books,4,60.6,Cash,2021-10-24,Kanyon,242.4
I227836,C657758,Female,28,Clothing,5,1500.4,Credit Card,2022-05-24,Forum Istanbul,7502.0
I121056,C151197,Female,49,Cosmetics,1,40.66,Cash,2022-03-13,Istinye Park,40.66
I293112,C176086,Female,32,Clothing,2,600.16,Credit Card,2021-01-13,Mall of Istanbul,1200.32
I293455,C159642,Male,69,Clothing,3,900.24,Credit Card,2021-11-04,Metrocity,2700.7200000000003
I326945,C283361,Female,60,Clothing,2,600.16,Credit Card,2021-08-22,Kanyon,1200.32
I306368,C240286,Female,36,Food & Beverage,2,10.46,Cash,2022-12-25,Metrocity,20.92
I139207,C191708,Female,29,Books,1,15.15,Credit Card,2022-10-28,Emaar Square Mall,15.15
I640508,C225330,Female,67,Toys,4,143.36,Debit Card,2022-07-31,Metrocity,573.44
I179802,C312861,Male,25,Clothing,2,600.16,Cash,2022-11-17,Cevahir AVM,1200.32
I336189,C555402,Female,67,Clothing,2,600.16,Credit Card,2022-06-03,Kanyon,1200.32
I688768,C362288,Male,24,Shoes,5,3000.85,Credit Card,2021-11-07,Viaport Outlet,15004.25
I294687,C300786,Male,65,Books,2,30.3,Debit Card,2021-01-16,Metrocity,60.6
I195744,C330667,Female,42,Food & Beverage,3,15.69,Credit Card,2022-01-05,Zorlu Center,47.07
I993048,C218149,Female,46,Clothing,2,600.16,Cash,2021-07-26,Metropol AVM,1200.32
I992454,C196845,Male,24,Toys,4,143.36,Cash,2023-03-07,Cevahir AVM,573.44
I183746,C220180,Male,23,Clothing,1,300.08,Credit Card,2023-02-15,Emaar Square Mall,300.08
I412481,C125696,Female,27,Food & Beverage,1,5.23,Cash,2021-05-01,Cevahir AVM,5.23
I823067,C322947,Male,52,Clothing,2,600.16,Credit Card,2022-06-18,Cevahir AVM,1200.32
I252275,C313348,Male,44,Technology,5,5250.0,Cash,2021-10-26,Kanyon,26250.0
I174250,C204553,Female,42,Books,5,75.75,Cash,2022-12-16,Metrocity,378.75
I195396,C285161,Male,51,Toys,2,71.68,Debit Card,2021-05-16,Istinye Park,143.36
I196704,C289625,Female,25,Cosmetics,5,203.3,Credit Card,2022-04-20,Mall of Istanbul,1016.5
I217053,C192344,Male,50,Shoes,4,2400.68,Cash,2022-10-10,Emaar Square Mall,9602.72
I655874,C447138,Female,65,Shoes,3,1800.51,Cash,2022-08-23,Cevahir AVM,5401.53
I209744,C251229,Male,29,Cosmetics,3,121.98,Credit Card,2021-04-29,Istinye Park,365.94
I161949,C159164,Female,66,Toys,3,107.52,Debit Card,2022-07-04,Mall of Istanbul,322.56
I331891,C501658,Male,23,Clothing,1,300.08,Credit Card,2021-11-21,Emaar Square Mall,300.08
I768348,C176727,Female,32,Shoes,3,1800.51,Credit Card,2022-02-23,Kanyon,5401.53
I109053,C232624,Male,51,Clothing,4,1200.32,Debit Card,2021-07-11,Metrocity,4801.28
I167211,C164092,Female,66,Shoes,4,2400.68,Credit Card,2022-08-30,Zorlu Center,9602.72
I339732,C276887,Male,68,Food & Beverage,1,5.23,Credit Card,2023-01-04,Emaar Square Mall,5.23
I147062,C245456,Male,43,Clothing,5,1500.4,Credit Card,2022-06-21,Kanyon,7502.0
I187519,C450287,Female,59,Clothing,2,600.16,Credit Card,2022-07-08,Metrocity,1200.32
I106674,C204279,Male,54,Clothing,2,600.16,Cash,2022-02-27,Kanyon,1200.32
I473411,C452806,Male,24,Clothing,1,300.08,Cash,2022-12-19,Metropol AVM,300.08
I246550,C716788,Female,49,Food & Beverage,3,15.69,Cash,2021-09-10,Zorlu Center,47.07
I138674,C155059,Male,67,Cosmetics,2,81.32,Credit Card,2022-02-14,Metropol AVM,162.64
I752693,C306662,Female,48,Cosmetics,3,121.98,Cash,2022-04-28,Metrocity,365.94
I826174,C607615,Female,40,Shoes,4,2400.68,Cash,2022-06-20,Metrocity,9602.72
I296025,C120164,Female,41,Shoes,3,1800.51,Credit Card,2022-04-21,Kanyon,5401.53
I117291,C134449,Male,46,Books,5,75.75,Credit Card,2022-12-09,Zorlu Center,378.75
I267193,C317818,Female,19,Cosmetics,3,121.98,Credit Card,2023-01-12,Mall of Istanbul,365.94
I205366,C241642,Female,43,Clothing,4,1200.32,Debit Card,2022-11-07,Zorlu Center,4801.28
I269690,C126436,Male,18,Cosmetics,3,121.98,Debit Card,2022-02-07,Zorlu Center,365.94
I304265,C653385,Female,22,Books,5,75.75,Debit Card,2021-06-13,Forum Istanbul,378.75
I246562,C227070,Female,61,Cosmetics,5,203.3,Cash,2021-08-23,Emaar Square Mall,1016.5
I202367,C317478,Female,41,Books,3,45.45,Cash,2023-02-24,Istinye Park,136.35000000000002
I664787,C237330,Female,53,Cosmetics,2,81.32,Credit Card,2023-01-12,Istinye Park,162.64
I160777,C626042,Female,43,Technology,4,4200.0,Cash,2022-02-22,Metrocity,16800.0
I137794,C133687,Female,45,Food & Beverage,3,15.69,Debit Card,2021-03-12,Viaport Outlet,47.07
I148377,C841663,Female,29,Clothing,1,300.08,Cash,2022-01-02,Istinye Park,300.08
I258195,C213742,Male,43,Toys,2,71.68,Cash,2021-11-26,Kanyon,143.36
I300213,C962515,Female,19,Clothing,4,1200.32,Credit Card,2021-04-21,Kanyon,4801.28
I263803,C112279,Female,67,Food & Beverage,3,15.69,Cash,2021-06-23,Kanyon,47.07
I335713,C158837,Female,36,Books,4,60.6,Cash,2021-12-14,Kanyon,242.4
I133061,C336576,Male,64,Clothing,5,1500.4,Credit Card,2022-06-09,Mall of Istanbul,7502.0
I207205,C716161,Female,33,Clothing,1,300.08,Debit Card,2021-11-26,Kanyon,300.08
I209289,C439382,Female,33,Clothing,4,1200.32,Credit Card,2021-02-05,Kanyon,4801.28
I157285,C123427,Male,66,Clothing,4,1200.32,Cash,2022-03-06,Mall of Istanbul,4801.28
I218590,C224743,Female,29,Cosmetics,4,162.64,Debit Card,2022-05-09,Metropol AVM,650.56
I181109,C119549,Male,22,Toys,3,107.52,Cash,2022-10-17,Mall of Istanbul,322.56
I221715,C187266,Female,63,Food & Beverage,3,15.69,Cash,2022-01-22,Cevahir AVM,47.07
I204979,C173084,Female,24,Souvenir,5,58.65,Debit Card,2021-03-14,Istinye Park,293.25
I115146,C126956,Female,24,Cosmetics,5,203.3,Cash,2022-04-27,Metrocity,1016.5
I883721,C236859,Female,44,Technology,5,5250.0,Credit Card,2021-11-19,Mall of Istanbul,26250.0
I402376,C309926,Male,34,Shoes,5,3000.85,Cash,2022-09-10,Forum Istanbul,15004.25
I251356,C493252,Female,47,Cosmetics,4,162.64,Cash,2021-09-04,Kanyon,650.56
I292239,C109871,Male,38,Food & Beverage,5,26.15,Cash,2022-08-21,Mall of Istanbul,130.75
I276526,C136117,Female,57,Shoes,5,3000.85,Debit Card,2021-10-02,Emaar Square Mall,15004.25
I260525,C258404,Male,67,Toys,3,107.52,Cash,2023-01-07,Emaar Square Mall,322.56
I870944,C169749,Male,41,Souvenir,3,35.19,Credit Card,2021-06-08,Cevahir AVM,105.57
I739573,C199947,Female,40,Clothing,5,1500.4,Debit Card,2021-04-17,Kanyon,7502.0
I115870,C135790,Female,69,Shoes,4,2400.68,Cash,2021-09-04,Metrocity,9602.72
I190444,C606418,Female,47,Food & Beverage,5,26.15,Cash,2022-07-20,Mall of Istanbul,130.75
I309552,C111611,Female,53,Food & Beverage,4,20.92,Credit Card,2021-07-14,Istinye Park,83.68
I306076,C679476,Male,40,Toys,2,71.68,Cash,2022-11-01,Emaar Square Mall,143.36
I321683,C542025,Male,60,Cosmetics,4,162.64,Credit Card,2023-01-06,Metrocity,650.56
I151332,C168491,Male,30,Souvenir,2,23.46,Cash,2021-03-25,Kanyon,46.92
I340014,C169650,Female,66,Clothing,2,600.16,Credit Card,2022-09-08,Istinye Park,1200.32
I249424,C158160,Male,22,Food & Beverage,1,5.23,Cash,2022-02-18,Mall of Istanbul,5.23
I227716,C552345,Male,53,Food & Beverage,2,10.46,Cash,2021-04-22,Kanyon,20.92
I140663,C218383,Female,52,Clothing,5,1500.4,Cash,2022-10-15,Zorlu Center,7502.0
I253242,C309438,Male,26,Shoes,5,3000.85,Cash,2022-04-07,Mall of Istanbul,15004.25
I108359,C253905,Male,66,Food & Beverage,1,5.23,Cash,2022-06-07,Mall of Istanbul,5.23
I195567,C992677,Male,65,Clothing,4,1200.32,Debit Card,2023-01-22,Metropol AVM,4801.28
I289643,C584700,Female,43,Technology,2,2100.0,Cash,2022-08-22,Kanyon,4200.0
I722319,C157070,Female,59,Toys,1,35.84,Debit Card,2021-10-03,Kanyon,35.84
I317105,C177975,Female,30,Souvenir,5,58.65,Debit Card,2021-07-29,Kanyon,293.25
I215721,C830576,Female,25,Cosmetics,2,81.32,Debit Card,2022-12-16,Metrocity,162.64
I154469,C807389,Female,29,Toys,3,107.52,Debit Card,2021-06-03,Mall of Istanbul,322.56
I172458,C277842,Female,19,Clothing,2,600.16,Debit Card,2021-12-17,Cevahir AVM,1200.32
I297270,C183011,Male,62,Clothing,5,1500.4,Credit Card,2022-12-31,Metropol AVM,7502.0
I153930,C567813,Male,39,Food & Beverage,3,15.69,Cash,2022-08-09,Forum Istanbul,47.07
I282854,C282974,Female,33,Clothing,3,900.24,Cash,2022-07-31,Kanyon,2700.7200000000003
I869144,C181972,Female,26,Food & Beverage,4,20.92,Debit Card,2021-05-04,Mall of Istanbul,83.68
I283443,C189493,Male,43,Technology,3,3150.0,Credit Card,2022-05-25,Viaport Outlet,9450.0
I193271,C242748,Female,40,Food & Beverage,3,15.69,Debit Card,2022-12-23,Kanyon,47.07
I985478,C324683,Male,55,Clothing,4,1200.32,Credit Card,2023-01-24,Kanyon,4801.28
I200392,C307921,Female,24,Clothing,5,1500.4,Credit Card,2021-09-14,Viaport Outlet,7502.0
I256691,C152549,Male,24,Cosmetics,1,40.66,Cash,2022-02-04,Metrocity,40.66
I796162,C111832,Female,30,Food & Beverage,5,26.15,Credit Card,2022-01-06,Metrocity,130.75
I224371,C204174,Male,34,Clothing,5,1500.4,Credit Card,2022-02-01,Mall of Istanbul,7502.0
I215998,C279370,Female,64,Clothing,5,1500.4,Cash,2022-10-26,Cevahir AVM,7502.0
I338966,C907582,Female,57,Clothing,5,1500.4,Cash,2022-09-21,Mall of Istanbul,7502.0
