invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall,total_sales
I173702,C988172,Female,66,Shoes,5,3000.85,Credit Card,2021-05-16,Metropol AVM,15004.25
I993048,C218149,Female,46,Clothing,2,600.16,Cash,2021-07-26,Metropol AVM,1200.32
I473411,C452806,Male,24,Clothing,1,300.08,Cash,2022-12-19,Metropol AVM,300.08
I138674,C155059,Male,67,Cosmetics,2,81.32,Credit Card,2022-02-14,Metropol AVM,162.64
I218590,C224743,Female,29,Cosmetics,4,162.64,Debit Card,2022-05-09,Metropol AVM,650.56
I195567,C992677,Male,65,Clothing,4,1200.32,Debit Card,2023-01-22,Metropol AVM,4801.28
I297270,C183011,Male,62,Clothing,5,1500.4,Credit Card,2022-12-31,Metropol AVM,7502.0
I222983,C132002,Female,68,Clothing,1,300.08,Credit Card,2021-12-23,Metropol AVM,300.08
I745394,C249877,Male,54,Food & Beverage,1,5.23,Cash,2021-12-14,Metropol AVM,5.23
I304531,C263874,Male,54,Clothing,1,300.08,Debit Card,2021-04-07,Metropol AVM,300.08
I122655,C989693,Female,32,Technology,2,2100.0,Credit Card,2021-02-21,Metropol AVM,4200.0
I259878,C223010,Male,44,Clothing,4,1200.32,Credit Card,2022-10-12,Metropol AVM,4801.28
I323788,C131786,Female,32,Clothing,1,300.08,Credit Card,2022-03-17,Metropol AVM,300.08
I285454,C194380,Female,41,Souvenir,5,58.65,Credit Card,2022-06-23,Metropol AVM,293.25
I260028,C208108,Male,38,Clothing,4,1200.32,Cash,2021-04-16,Metropol AVM,4801.28
I328321,C271029,Female,38,Souvenir,2,23.46,Credit Card,2021-02-12,Metropol AVM,46.92
I248153,C329633,Female,44,Food & Beverage,1,5.23,Cash,2022-07-03,Metropol AVM,5.23
I198233,C584141,Female,31,Cosmetics,4,162.64,Cash,2023-02-13,Metropol AVM,650.56
I399563,C250673,Female,38,Toys,1,35.84,Cash,2021-06-24,Metropol AVM,35.84
I246151,C287409,Male,25,Books,3,45.45,Debit Card,2021-07-05,Metropol AVM,136.35000000000002
I737630,C848969,Male,69,Clothing,5,1500.4,Cash,2022-04-15,Metropol AVM,7502.0
I891311,C240171,Female,31,Food & Beverage,2,10.46,Debit Card,2021-09-25,Metropol AVM,20.92
I160585,C298229,Male,26,Cosmetics,2,81.32,Cash,2022-02-05,Metropol AVM,162.64
I798213,C662958,Female,20,Shoes,3,1800.51,Cash,2021-01-03,Metropol AVM,5401.53
I232338,C545065,Female,18,Clothing,4,1200.32,Debit Card,2022-09-22,Metropol AVM,4801.28
I165687,C206501,Female,61,Clothing,3,900.24,Cash,2022-12-08,Metropol AVM,2700.7200000000003
I111305,C448846,Female,67,Food & Beverage,3,15.69,Cash,2021-09-13,Metropol AVM,47.07
I204056,C622748,Female,54,Clothing,4,1200.32,Credit Card,2021-02-24,Metropol AVM,4801.28
I198698,C281268,Female,29,Clothing,1,300.08,Debit Card,2023-01-15,Metropol AVM,300.08
I915945,C250065,Female,23,Clothing,4,1200.32,Credit Card,2022-06-30,Metropol AVM,4801.28
I551237,C375325,Female,53,Clothing,4,1200.32,Cash,2021-11-22,Metropol AVM,4801.28
I983860,C169676,Female,60,Shoes,1,600.17,Credit Card,2021-09-30,Metropol AVM,600.17
I676291,C150463,Female,50,Food & Beverage,2,10.46,Cash,2021-06-13,Metropol AVM,20.92
I242823,C242659,Female,50,Clothing,4,1200.32,Debit Card,2021-03-26,Metropol AVM,4801.28
I135898,C310108,Female,23,Toys,2,71.68,Debit Card,2022-08-14,Metropol AVM,143.36
I304665,C111056,Female,20,Food & Beverage,5,26.15,Credit Card,2021-12-05,Metropol AVM,130.75
I995407,C259743,Female,48,Souvenir,3,35.19,Cash,2021-03-21,Metropol AVM,105.57
I274190,C317850,Female,20,Toys,3,107.52,Cash,2021-06-16,Metropol AVM,322.56
I332582,C260810,Female,41,Souvenir,5,58.65,Cash,2022-10-28,Metropol AVM,293.25
I339496,C286466,Male,30,Clothing,1,300.08,Debit Card,2021-05-25,Metropol AVM,300.08
I230221,C287787,Male,34,Clothing,1,300.08,Cash,2021-04-21,Metropol AVM,300.08
I317354,C142943,Female,31,Clothing,1,300.08,Cash,2021-11-10,Metropol AVM,300.08
I300799,C116633,Female,61,Food & Beverage,3,15.69,Cash,2022-03-06,Metropol AVM,47.07
I160636,C812053,Female,53,Cosmetics,4,162.64,Cash,2022-04-04,Metropol AVM,650.56
I735039,C285422,Male,50,Clothing,1,300.08,Cash,2022-08-01,Metropol AVM,300.08
I119469,C234177,Female,59,Clothing,1,300.08,Debit Card,2021-03-03,Metropol AVM,300.08
I264491,C107261,Female,63,Cosmetics,5,203.3,Credit Card,2023-02-13,Metropol AVM,1016.5
I527111,C218706,Female,21,Food & Beverage,2,10.46,Debit Card,2022-10-05,Metropol AVM,20.92
